Role,Meeting Type,Proposal,Invitation,Agenda,RSVP,Attendance,Event Summary,Invoice,Speaker,Honorarium,Sponsorship,NP4
Novartis Organised Educational Event,Breakfast Meetings,No,Yes,Yes,Yes,Yes|(Must be signed by all attendees),Yes,Yes,Yes|If speaker attended,Yes|If Speaker was Paid,N/A,See SOP CMP004 (HCP Interactions) & CMP005 (Events)
Novartis Organised Educational Event,Lunch Meeting,No,Yes,Yes,Yes,Yes|Must be signed by all attendees,Yes,Yes,Yes|If speaker attended,Yes|If Speaker was Paid,N/A,See SOP CMP004 (HCP Interactions) & CMP005 (Events)
Novartis Organised Educational Event,Dinner Events,No,Yes,Yes,Yes,Yes|Must be signed by all attendees,Yes,Yes,Yes|If speaker attended,Yes|If Speaker was Paid,N/A,See SOP CMP004 (HCP Interactions) & CMP005 (Events)
Novartis Organised Educational Event,Day Seminars,No,Yes,Yes,Yes,Yes|Must be signed by all attendees,Yes,Yes,Yes|If speaker attended,Yes|If Speaker was Paid,N/A,See SOP CMP004 (HCP Interactions) & CMP005 (Events)
Novartis Organised Educational Event,Weekend Meetings,No,Yes,Yes,Yes,Yes|Must be signed by all attendees,Yes,Yes,Yes|If speaker attended,Yes|If Speaker was Paid,N/A,See SOP CMP004 (HCP Interactions) & CMP005 (Events)
Novartis Organised Educational Event,Speaker Tour,No,Yes,Yes,Yes,Yes|Must be signed by all attendees,Yes,Yes,Yes|If speaker attended,Yes|If Speaker was Paid,N/A,See SOP CMP004 (HCP Interactions) & CMP005 (Events)
Novartis Organised Educational Event,International Speaker Tour,No,Yes,Yes,Yes,Yes|Must be signed by all attendees,Yes,Yes,Yes|If speaker attended,Yes|If Speaker was Paid,N/A,See SOP CMP004 (HCP Interactions) & CMP005 (Events)
Novartis Organised Educational Event,Presentation,No,Yes,Yes,Yes,Yes|Must be signed by all attendees,Yes,Yes,Yes|If speaker attended,Yes|If Speaker was Paid,N/A,See SOP CMP004 (HCP Interactions) & CMP005 (Events)
Novartis Organised Educational Event,Training,No,Yes,Yes,Yes,Yes|Must be signed by all attendees,Yes,Yes,Yes|If speaker attended,Yes|If Speaker was Paid,N/A,See SOP CMP004 (HCP Interactions) & CMP005 (Events)
Novartis Organised Educational Event,Satellite Educational Event in association with conference,No,Yes,Yes,Yes,Yes|Must be signed by all attendees,Yes,Yes,Yes|If speaker attended,Yes|If Speaker was Paid,N/A,See SOP CMP004 (HCP Interactions) & CMP005 (Events)
Novartis Organised Educational Event,Webcast,No,Yes,Yes,Yes,Yes|Must be signed by all attendees,Yes,Yes,Yes|agreement for both speaker and moderator/faciltator if relevant,Yes|If Speaker was Paid,N/A,See SOP CMP004 (HCP Interactions) & CMP005 (Events)
Novartis Organised Educational Event,Hospitality in association with conference,No,Yes,Yes,Yes,Yes|Must be signed by all attendees,Yes,Yes,Yes|If speaker attended,Yes|If Speaker was Paid,N/A,See SOP CMP004 (HCP Interactions) & CMP005 (Events)
Novartis Organised Educational Event,Advisory Boards,No,No|Part of the Service Level agreement,Yes|Taken from Advisory Board Program,No,Yes|Can be taken from the minutes (if submitted) or signed attendance list,Yes|Contact ACCC Admins for excel spreadsheet,Yes,Yes|Use Service Level agreement (obtained from Legal),Yes,No,See SOP CMP004 (HCP Interactions) & CMP005 (Events)
Co-organised Event,Breakfast Meetings,No,Yes,Yes,Yes,Yes|(Must be signed by all attendees),Yes,Yes,Yes|If speaker attended,Yes|If Speaker was Paid,N/A,See SOP CMP004 (HCP Interactions) & CMP005 (Events)
Co-organised Event,Lunch Meeting,No,Yes,Yes,Yes,Yes|Must be signed by all attendees,Yes,Yes,Yes|If speaker attended,Yes|If Speaker was Paid,N/A,See SOP CMP004 (HCP Interactions) & CMP005 (Events)
Co-organised Event,Dinner Events,No,Yes,Yes,Yes,Yes|Must be signed by all attendees,Yes,Yes,Yes|If speaker attended,Yes|If Speaker was Paid,N/A,See SOP CMP004 (HCP Interactions) & CMP005 (Events)
Co-organised Event,Day Seminars,No,Yes,Yes,Yes,Yes|Must be signed by all attendees,Yes,Yes,Yes|If speaker attended,Yes|If Speaker was Paid,N/A,See SOP CMP004 (HCP Interactions) & CMP005 (Events)
Co-organised Event,Weekend Meetings,No,Yes,Yes,Yes,Yes|Must be signed by all attendees,Yes,Yes,Yes|If speaker attended,Yes|If Speaker was Paid,N/A,See SOP CMP004 (HCP Interactions) & CMP005 (Events)
Co-organised Event,Presentation,No,Yes,Yes,Yes,Yes|Must be signed by all attendees,Yes,Yes,Yes|If speaker attended,Yes|If Speaker was Paid,N/A,See SOP CMP004 (HCP Interactions) & CMP005 (Events)
Co-organised Event,Training,No,Yes,Yes,Yes,Yes|Must be signed by all attendees,Yes,Yes,Yes|If speaker attended,Yes|If Speaker was Paid,N/A,See SOP CMP004 (HCP Interactions) & CMP005 (Events)
Co-organised Event,Satellite Educational Event in association with conference,No,Yes,Yes,Yes,Yes|Must be signed by all attendees,Yes,Yes,Yes|If speaker attended,Yes|If Speaker was Paid,N/A,See SOP CMP004 (HCP Interactions) & CMP005 (Events)
Co-organised Event,Hospitality in association with conference,No,Yes,Yes,Yes,Yes|Must be signed by all attendees,Yes,Yes,Yes|If speaker attended,Yes|If Speaker was Paid,N/A,See SOP CMP004 (HCP Interactions) & CMP005 (Events)
3rd Party Sponsored,Breakfast Events,Yes,Only if prepared by Novartis,Yes,No|Number of attendees taken from sponsorship agreement,No|Signed attendance record not required however total number of attendees needs to be reported,Yes,Yes,Yes|If speaker was organised by Novartis,Yes|If speaker was organised by Novartis,Yes,See SOP CMP004 (HCP Interactions) & CMP005 (Events)
3rd Party Sponsored,Lunch Meeting,Yes,Only if prepared by Novartis,Yes,No|Number of attendees taken from sponsorship agreement,No|Signed attendance record not required however total number of attendees needs to be reported,Yes,Yes,Yes|If speaker was organised by Novartis,Yes|If speaker was organised by Novartis,Yes,See SOP CMP004 (HCP Interactions) & CMP005 (Events)
3rd Party Sponsored,Dinner Events,Yes,Only if prepared by Novartis,Yes,No|Number of attendees taken from sponsorship agreement,No|Signed attendance record not required however total number of attendees needs to be reported,Yes,Yes,Yes|If speaker was organised by Novartis,Yes|If speaker was organised by Novartis,Yes,See SOP CMP004 (HCP Interactions) & CMP005 (Events)
3rd Party Sponsored,Day Seminars,Yes,Only if prepared by Novartis,Yes,No|Number of attendees taken from sponsorship agreement,No|Signed attendance record not required however total number of attendees needs to be reported,Yes,Yes,Yes|If speaker was organised by Novartis,Yes|If speaker was organised by Novartis,Yes,See SOP CMP004 (HCP Interactions) & CMP005 (Events)
3rd Party Sponsored,Weekend Meetings,Yes,Only if prepared by Novartis,Yes,No|Number of attendees taken from sponsorship agreement,No|Signed attendance record not required however total number of attendees needs to be reported,Yes,Yes,Yes|If speaker was organised by Novartis,Yes|If speaker was organised by Novartis,Yes,See SOP CMP004 (HCP Interactions) & CMP005 (Events)
3rd Party Sponsored,Grand Rounds - In Hospital Grounds,No,Only if prepared by Novartis,No|Detailed meeting description within sponsorship agreement accepted,Yes,No|Signed attendance record not required however total number of attendees needs to be reported,Yes,Yes,Yes|If speaker was organised by Novartis,Yes|If speaker was organised by Novartis,Yes,See SOP CMP004 (HCP Interactions) & CMP005 (Events)
3rd Party Sponsored,In-service Meeting - In Hospital Grounds,No,Only if prepared by Novartis,Yes,No|Number of attendees taken from sponsorship agreement,No|Signed attendance record not required however total number of attendees needs to be reported,Yes,Yes,Yes|If speaker was organised by Novartis,Yes|If speaker was organised by Novartis,Yes,See SOP CMP004 (HCP Interactions) & CMP005 (Events)
3rd Party Sponsored,Journal Club - In Hospital Grounds / External Venue,Yes - External Venue|No - In Hospital Grounds,Only if prepared by Novartis,Yes,No|Number of attendees taken from sponsorship agreement,No|Signed attendance record not required however total number of attendees needs to be reported,Yes,Yes,Yes|If speaker was organised by Novartis,Yes|If speaker was organised by Novartis,Yes,See SOP CMP004 (HCP Interactions) & CMP005 (Events)
3rd Party Sponsored,Multidisciplinary Meetings  - In Hospital Grounds / External Venue,Yes - External Venue|No - In Hospital Grounds,Only if prepared by Novartis,Yes,No|Number of attendees taken from sponsorship agreement,No|Signed attendance record not required however total number of attendees needs to be reported,Yes,Yes,Yes|If speaker was organised by Novartis,Yes|If speaker was organised by Novartis,Yes,See SOP CMP004 (HCP Interactions) & CMP005 (Events)
3rd Party Sponsored,Presentation,Yes,Only if prepared by Novartis,Yes,No|Number of attendees taken from sponsorship agreement,No|Signed attendance record not required however total number of attendees needs to be reported,Yes,Yes,Yes|If speaker was organised by Novartis,Yes|If speaker was organised by Novartis,Yes,See SOP CMP004 (HCP Interactions) & CMP005 (Events)
3rd Party Sponsored,Training,Yes,Only if prepared by Novartis,Yes,No|Number of attendees taken from sponsorship agreement,No|Signed attendance record not required however total number of attendees needs to be reported,Yes,Yes,Yes|If speaker was organised by Novartis,Yes|If speaker was organised by Novartis,Yes,See SOP CMP004 (HCP Interactions) & CMP005 (Events)
3rd Party Sponsored,Conference,Yes,Only if prepared by Novartis,Yes,No|Number of attendees taken from sponsorship agreement,No|Signed attendance record not required however total number of attendees needs to be reported,Yes,Yes,Yes|If speaker was organised by Novartis,Yes|If speaker was organised by Novartis,Yes,See SOP CMP004 (HCP Interactions) & CMP005 (Events)
3rd Party Co-sponsored,Breakfast Events,Yes,Only if prepared by Novartis,Yes,No|Number of attendees taken from sponsorship agreement,No|Signed attendance record not required however total number of attendees needs to be reported,Yes,Yes,Yes|If speaker was organised by Novartis,Yes|If speaker was organised by Novartis,Yes,See SOP CMP004 (HCP Interactions) & CMP005 (Events)
3rd Party Co-sponsored,Lunch Meeting,Yes,Only if prepared by Novartis,Yes,No|Number of attendees taken from sponsorship agreement,No|Signed attendance record not required however total number of attendees needs to be reported,Yes,Yes,Yes|If speaker was organised by Novartis,Yes|If speaker was organised by Novartis,Yes,See SOP CMP004 (HCP Interactions) & CMP005 (Events)®Õ
3rd Party Co-sponsored,Dinner Events,Yes,Only if prepared by Novartis,Yes,No|Number of attendees taken from sponsorship agreement,No|Signed attendance record not required however total number of attendees needs to be reported,Yes,Yes,Yes|If speaker was organised by Novartis,Yes|If speaker was organised by Novartis,Yes,See SOP CMP004 (HCP Interactions) & CMP005 (Events)
3rd Party Co-sponsored,Day Seminars,Yes,Only if prepared by Novartis,Yes,No|Number of attendees taken from sponsorship agreement,No|Signed attendance record not required however total number of attendees needs to be reported,Yes,Yes,Yes|If speaker was organised by Novartis,Yes|If speaker was organised by Novartis,Yes,See SOP CMP004 (HCP Interactions) & CMP005 (Events)
3rd Party Co-sponsored,Weekend Meetings,Yes,Only if prepared by Novartis,Yes,No|Number of attendees taken from sponsorship agreement,No|Signed attendance record not required however total number of attendees needs to be reported,Yes,Yes,Yes|If speaker was organised by Novartis,Yes|If speaker was organised by Novartis,Yes,See SOP CMP004 (HCP Interactions) & CMP005 (Events)
3rd Party Co-sponsored,Grand Rounds - In Hospital Grounds,No,Only if prepared by Novartis,Yes,No|Number of attendees taken from sponsorship agreement,No|Signed attendance record not required however total number of attendees needs to be reported,Yes,Yes,Yes|If speaker was organised by Novartis,Yes|If speaker was organised by Novartis,Yes,See SOP CMP004 (HCP Interactions) & CMP005 (Events)
3rd Party Co-sponsored,In-service Meeting - In Hospital Grounds,No,Only if prepared by Novartis,Yes,No|Number of attendees taken from sponsorship agreement,No|Signed attendance record not required however total number of attendees needs to be reported,Yes,Yes,Yes|If speaker was organised by Novartis,Yes|If speaker was organised by Novartis,Yes,See SOP CMP004 (HCP Interactions) & CMP005 (Events)
3rd Party Co-sponsored,Journal Club - In Hospital Grounds / External Venue,Yes - External Venue|No - In Hospital Grounds,Only if prepared by Novartis,Yes,No|Number of attendees taken from sponsorship agreement,No|Signed attendance record not required however total number of attendees needs to be reported,Yes,Yes,Yes|If speaker was organised by Novartis,Yes|If speaker was organised by Novartis,Yes,See SOP CMP004 (HCP Interactions) & CMP005 (Events)
3rd Party Co-sponsored,Multidisciplinary Meetings  - In Hospital Grounds / External Venue,Yes - External Venue|No - In Hospital Grounds,Only if prepared by Novartis,Yes,No|Number of attendees taken from sponsorship agreement,No|Signed attendance record not required however total number of attendees needs to be reported,Yes,Yes,Yes|If speaker was organised by Novartis,Yes|If speaker was organised by Novartis,Yes,See SOP CMP004 (HCP Interactions) & CMP005 (Events)
3rd Party Co-sponsored,Presentation,Yes,Only if prepared by Novartis,Yes,No|Number of attendees taken from sponsorship agreement,No|Signed attendance record not required however total number of attendees needs to be reported,Yes,Yes,Yes|If speaker was organised by Novartis,Yes|If speaker was organised by Novartis,Yes,See SOP CMP004 (HCP Interactions) & CMP005 (Events)
3rd Party Co-sponsored,Training,Yes,Only if prepared by Novartis,Yes,No|Number of attendees taken from sponsorship agreement,No|Signed attendance record not required however total number of attendees needs to be reported,Yes,Yes,Yes|If speaker was organised by Novartis,Yes|If speaker was organised by Novartis,Yes,See SOP CMP004 (HCP Interactions) & CMP005 (Events)
Sponsored Delegate (HCP),HCP initiated request - Full / Partial Sponsorship of HCP to attend an educational event,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,See SOP CMP004 (HCP Interactions) & CMP005 (Events)
Sponsored Delegate (HCP),Novartis initiated request - Full / Partial Sponsorship of HCP to attend an educational event,No,Yes Invitation from Novartis to attend (can be an email),Yes,No,No,Yes,Yes,No,No,Yes,See SOP CMP004 (HCP Interactions) & CMP005 (Events)
