3 Combat Support Hospital,RICHMOND RAAF,NSW
Abbotsford Endoscopy Ctr,ABBOTSFORD,VIC
Abergeldie Cosmetic Surg,GLEN OSMOND,SA
Abergeldie Specialist Hosp,GLEN OSMOND,SA
Adelaide Day Surgery,ADELAIDE,SA
Adelaide Plastic Surgery,ASHFORD,SA
Adelaide Skin & Eye Centre,KENT TOWN,SA
Adori Day Clinic,AUBURN,NSW
Aesthetic & Reconstructive Plastic Surgery,MELBOURNE,VIC
Aesthetic Breast Surgery Centre,GEELONG,VIC
Aesthetic Day Surgery,KOGARAH,NSW
Aesthetic Surgery & Laser Ctr,TOORAK,VIC
Albany Comm Hospice Inc,ALBANY,WA
Albany Regional Hospital,ALBANY,WA
Albert Rd Clinic,MELBOURNE,VIC
Albury Base Hospital,ALBURY,NSW
Albury Day Surgery,WEST ALBURY,NSW
Albury Wodonga Private Hospital,ALBURY,NSW
Alexandra Dist Hospital,ALEXANDRA,VIC
Alice Springs Hospital,ALICE SPRINGS,NT
Allamanda Private Hospital,SOUTHPORT,QLD
Allamanda Surgicentre,SOUTHPORT,QLD
Allora District Hospital,ALLORA,QLD
Allowah Childrens Hospital,DUNDAS,NSW
Alpha Hospital,ALPHA,QLD
Alpine Health-Myrtleford,MYRTLEFORD,VIC
Alpine Health - Bright,BRIGHT,VIC
Alpine Health - Mt Beauty,MOUNT BEAUTY,VIC
Alwyn Rehab Hospital,STRATHFIELD,NSW
Angliss Hospital,UPPER FERNTREE GULLY,VIC
Annabel House,RANDWICK,NSW
Aramac Hospital,ARAMAC,QLD
Ardrossan Community Hosp & Aged Care Svcs,ARDROSSAN,SA
Armadale Health Service,MOUNT NASURA,WA
Armidale Hospital,ARMIDALE,NSW
Armidale Private Hospital,ARMIDALE,NSW
Ashbury Cosmetic Surgery,BUNDALL,QLD
Ashford Hospital,ASHFORD,SA
Atherton Hospital,ATHERTON,QLD
Attadale Private Hospital,ATTADALE,WA
Attunga ENT Day Surgery,TOORAK GARDENS,SA
Auburn Aged Day Care,AUBURN,NSW
Auburn Day Centre,HAWTHORN,VIC
Auburn Hospital & CHS,AUBURN,NSW
Augathella Hospital,AUGATHELLA,QLD
Augusta Hospital,AUGUSTA,WA
Austin Health - Austin Campus,HEIDELBERG,VIC
Austin Health - Heidelberg Repatriation Hospital,HEIDELBERG WEST,VIC
Australian Skin Clinics,ASHMORE,QLD
Avenue Plastic Surgery,WINDSOR,VIC
Ayr District Hospital,AYR,QLD
Babinda Hospital,BABINDA,QLD
Bacchus Marsh & Melton Regional Hospital,BACCHUS MARSH,VIC
Baillie Henderson Hospital,TOOWOOMBA,QLD
Bairnsdale Regional Health Service,BAIRNSDALE,VIC
Balaklava Health Service,BALAKLAVA,SA
Ballarat Base Hospital,BALLARAT,VIC
Ballarat Hospice Care,BALLARAT,VIC
Ballina Day Surgery,BALLINA,NSW
Ballina Hospital,BALLINA,NSW
Balmain Hospital,BALMAIN,NSW
Balranald District Hosp,BALRANALD,NSW
Bamaga Hospital,BAMAGA,QLD
Banksia Services for Snrs,FRANKSTON,VIC
Bankstown-Lidcombe Hosp,BANKSTOWN,NSW
Baradine Multi-Purpose Service,BARADINE,NSW
Baralaba Hospital,BARALABA,QLD
Barcaldine Hospital,BARCALDINE,QLD
Barham-Koondrook Hosp,BARHAM,NSW
Baringa Private Hospital,COFFS HARBOUR,NSW
Barmera Hospital,BARMERA,SA
Barossa Hlth Serv-Angaston,ANGASTON,SA
Barraba Hospital,BARRABA,NSW
Batemans Bay District Hosp,BATEMANS BAY,NSW
Bathurst Base Hospital,BATHURST,NSW
Batlow District Hospital,BATLOW,NSW
Bayside Day Procedure & Specialist Centre,FRANKSTON,VIC
Bayside Endoscopy,MOORABBIN,VIC
Bear Cottage,MANLY,NSW
